年月,玄米価格(円/kg),店頭価格(円/5kg)
2020-01,270,1900
2020-02,272,1880
2020-03,275,1850
2020-04,277,1840
2020-05,280,1820
2020-06,282,1800
2020-07,285,1810
2020-08,287,1820
2020-09,290,1830
2020-10,293,1850
2020-11,295,1860
2020-12,297,1870
2021-01,300,1900
2021-02,302,1920
2021-03,305,1930
2021-04,307,1950
2021-05,308,1970
2021-06,310,1980
2021-07,312,2000
2021-08,314,2020
2021-09,316,2030
2021-10,318,2050
2021-11,320,2070
2021-12,322,2080
2022-01,324,2100
2022-02,325,2110
2022-03,326,2120
2022-04,328,2130
2022-05,330,2140
2022-06,331,2150
2022-07,333,2160
2022-08,335,2170
2022-09,337,2190
2022-10,339,2200
2022-11,341,2220
2022-12,343,2250
2023-01,345,2280
2023-02,348,2300
2023-03,350,2330
2023-04,352,2350
2023-05,355,2380
2023-06,357,2400
2023-07,360,2450
2023-08,362,2500
2023-09,365,2550
2023-10,368,2600
2023-11,370,2650
2023-12,372,2700
2024-01,375,2750
2024-02,377,2770
2024-03,380,2800
2024-04,383,2850
2024-05,385,2900
2024-06,388,2950
2024-07,390,3000
2024-08,392,3050
2024-09,395,3100
2024-10,398,3150
2024-11,400,3200
2024-12,403,3250
2025-01,405,3300
2025-02,407,3350
2025-03,410,3400
